name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
Namkeen - Union,61250a17-f437-43c9-9c9f-992ac2c91549,true,true,6.625,1,36,1,namkeen,mass run,2026-09-09T01:30:58.772Z
Osteria,c4239680-b664-4f8b-b597-a4a7d5614b3a,false,false,8.875,1,63,1,,mass run,2026-09-09T01:31:30.113Z
Pine and Crane DTLA,8c6237db-a1ab-43f8-8650-82a58025f1e2,true,true,9.75,2,28,1,,mass run,2026-09-09T01:31:44.420Z
Pismo Fish and Chips,45967e84-3aa5-42a2-888e-dd1062b14b66,true,true,7.75,1,26,1,,mass run,2026-09-09T01:31:59.316Z
Pita Pit - Kent,66bd4561-9558-416f-a6a0-854357d2ec96,true,true,10.4,2,24,1,gv4ykr,mass run,2026-09-09T01:32:28.601Z
Purslane x Milk Bar,133fd459-b3b4-4013-a281-c7474516058c,false,false,8.875,4,144,1,purslane,mass run,2026-09-09T01:35:24.936Z
rhk marketplace,3921a66d-0850-40b5-aaef-b8d92e91d413,true,true,8.875,1,75,1,,mass run,2026-09-09T01:36:04.276Z
Savvy Sliders - Covington,731539fb-de2e-47b3-85ae-7192a20ddbd1,true,true,10,2,38,1,metairie,mass run,2026-09-09T01:36:50.421Z
Savvy Sliders - Dallas,d1eb0a1b-a1dd-4b17-924e-2fe2efc60f9f,true,true,8.25,1,18,1,savvysliders,mass run,2026-09-09T01:37:18.401Z
Savvy Sliders - Detroit (Midtown),2d067273-2abe-40a3-b8c1-bf46223a3b73,true,true,6,1,18,1,savvysliders,mass run,2026-09-09T01:37:49.694Z
Savvy Sliders - Fort Wayne,b956e932-1b35-4c30-ac96-bffd8f8c316f,true,true,8,1,17,1,,mass run,2026-09-09T01:38:20.850Z
Savvy Sliders - Fraser,adf5d7c2-cb9d-4c15-9b99-a3fded7d3efc,true,true,6,1,18,1,savvysliders,mass run,2026-09-09T01:38:45.635Z
Savvy Sliders - Harvey,a9c6d8e2-301f-4341-8aa0-40c3518a3c97,true,true,9.75,2,38,1,metairie,mass run,2026-09-09T01:39:30.013Z
Savvy Sliders - Metairie,8236e59e-5761-435c-ac7f-19f375c524d7,true,true,9.75,2,38,1,metairie,mass run,2026-09-09T01:40:11.605Z
Savvy Sliders - Oak Park,6590181f-f914-41bc-ad41-aa105a3889d3,true,true,6,1,18,1,savvysliders,mass run,2026-09-09T01:40:37.779Z
Savvy Sliders - Port Huron,fb115bce-a4af-4fa8-a6d6-27f85a72f3b1,true,true,6,1,23,2,happyspizzacatering,chain run,2026-09-09T11:38:35.901Z
Savvy Sliders - San Antonio,c634b37e-d2ff-4a8f-94ed-6f34bc51b783,true,true,8.25,1,18,1,savvysliders,mass run,2026-09-09T01:41:06.345Z
SmackBird Chicken - Longview,6a7e93eb-7a1b-4e3e-846a-eb70d6854961,false,false,8.25,1,22,1,smackbird,mass run,2026-09-09T01:02:27.201Z
SmackBird Chicken - North Dallas,197ff8ab-a2d3-451b-ba89-dc90c3ae2b27,true,true,8.25,1,22,2,smackbird,chain run,2026-09-09T11:45:58.320Z
SmackBird Chicken - Overton,d0d4dca4-b58a-494a-a37a-e759d7023772,true,true,8.25,1,22,3,smackbird,chain run,2026-09-09T11:46:17.891Z
Springbone Kitchen,035f1f94-d493-4381-99cf-0dfe5a32c776,false,true,8.875,1,79,1,,mass run,2026-09-09T01:41:23.920Z
Starbucks - Union Street Station,86d6d1aa-8d95-4a7e-a032-cea99378c694,false,false,7.5,1,31,1,,mass run,2026-09-09T01:02:39.023Z
Supernatural,9d54553f-98bb-4289-9953-6bcae143edce,true,true,7.5,3,45,131,,named conversion (SuperNatural),2026-09-09T00:52:40.375Z
Tap 42 - Aventura,c9f91109-08e0-43d0-9bc8-cc3145d69c65,true,true,8,1,31,4,tap42,chain run,2026-09-09T11:43:29.929Z
Tap 42 - Boca Raton,c773ab12-2bbc-4678-853b-fa1487aa03d0,true,true,7,1,30,7,tap42,chain run,2026-09-09T11:43:03.274Z
Tap 42 - Coral Gables,a815323a-48b3-4778-963a-9ec351d0608e,true,true,8,1,32,1,tap42,mass run,2026-09-09T01:41:56.541Z
